YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2022,Nikola Jokic,C,Denver Nuggets,58.3,27.1,13.8,7.9,0.9
2021,Nikola Jokic,C,Denver Nuggets,56.599999999999994,26.4,10.8,8.3,0.7
2020,Giannis Antetokounmpo,PF,Milwaukee Bucks,55.300000000000004,29.5,13.6,5.6,1.0
2019,Giannis Antetokounmpo,PF,Milwaukee Bucks,57.8,27.7,12.5,5.9,1.5
2018,James Harden,SG,Houston Rockets,44.9,30.4,5.4,8.8,0.7
2017,Russell Westbrook,PG,Oklahoma City Thunder,42.5,31.6,10.7,10.4,0.4
2016,Stephen Curry,PG,Golden State Warriors,50.4,30.1,5.4,6.7,0.2
2015,Stephen Curry,PG,Golden State Warriors,48.699999999999996,23.8,4.3,7.7,0.2
2014,Kevin Durant,SF,Oklahoma City Thunder,50.3,32.0,7.4,5.5,0.7
2013,LeBron James,SF,Miami Heat,56.49999999999999,26.8,8.0,7.3,0.9
2012,LeBron James,SF,Miami Heat,53.1,27.1,7.9,6.2,0.8
2011,Derrick Rose,PG,Chicago Bulls,44.5,25.0,4.1,7.7,0.6
2010,LeBron James,SF,Cleveland Cavaliers,50.3,29.7,7.3,8.6,1.0
2009,LeBron James,SF,Cleveland Cavaliers,48.9,28.4,7.6,7.2,1.1
2008,Kobe Bryant,SG,Los Angeles Lakers,45.9,28.3,6.3,5.4,0.5
2007,Dirk Nowitzki,PF,Dallas Mavericks,50.2,24.6,8.9,3.4,0.8
2006,Steve Nash,PG,Phoenix Suns,51.2,18.8,4.2,10.5,0.2
2005,Steve Nash,PG,Phoenix Suns,50.2,15.5,3.3,11.5,0.1
2004,Kevin Garnett,PF,Minnesota Timberwolves,49.9,24.2,13.9,5.0,2.2
2003,Tim Duncan,C,San Antonio Spurs,51.300000000000004,23.3,12.9,3.9,2.9
2002,Tim Duncan,C,San Antonio Spurs,50.8,25.5,12.7,3.7,2.5
2001,Allen Iverson,SG,Philadelphia 76ers,42.0,31.1,3.8,4.6,0.3
2000,Shaquille O'Neal,C,Los Angeles Lakers,57.4,29.7,13.6,3.8,3.0
1999,Karl Malone,PF,Utah Jazz,49.3,23.8,9.4,4.1,0.6
1998,Michael Jordan,SG,Chicago Bulls,46.5,28.7,5.8,3.5,0.5
1997,Karl Malone,PF,Utah Jazz,55.00000000000001,27.4,9.9,4.5,0.6
