PLAYER,TEAM,GP,MIN,PTS,AST,REB,FG%,3P%,FT%,W%,YEAR,MVP
Michael Jordan,CHI,82,37.7,30.4,4.3,6.6,49.5,42.7,83.4,45.8,1996,1
David Robinson,SAS,81,38.0,27.6,2.9,10.8,53.0,30.0,77.4,61.1,1995,1
Hakeem Olajuwon,HOU,80,41.0,27.3,3.6,11.9,52.8,42.1,71.6,68.1,1994,1
Charles Barkley,PHX,76,37.6,25.6,5.1,12.2,52.0,30.5,76.5,68.1,1993,1
Michael Jordan,CHI,80,38.8,30.1,6.1,6.4,51.9,27.0,83.2,65.3,1992,1
Michael Jordan,CHI,82,37.0,31.5,5.5,6.0,53.9,31.2,85.1,72.2,1991,1
Magic Johnson,LAL,79,37.2,22.3,11.5,6.6,48.0,38.4,89.0,75.0,1990,1
Magic Johnson,LAL,77,37.5,22.5,12.8,7.9,50.9,31.4,91.1,72.5,1989,1
Michael Jordan,CHI,82,40.4,35.0,5.9,5.5,53.5,13.2,84.1,68.8,1988,1
Magic Johnson,LAL,80,36.3,23.9,12.2,6.3,52.2,20.5,84.8,77.5,1987,1
Larry Bird,BOS,82,38.0,25.8,6.8,9.8,49.6,42.3,89.6,68.8,1986,1
Larry Bird,BOS,80,39.5,28.7,6.6,10.5,52.2,42.7,88.2,84.0,1985,1
Larry Bird,BOS,79,38.3,24.2,6.6,10.1,49.2,24.7,88.8,75.6,1984,1
Moses Malone,PHI,78,37.5,24.5,1.3,15.3,50.1,0.0,76.1,69.5,1983,1
Moses Malone,HOU,81,42.0,31.1,1.8,14.7,51.9,0.0,76.2,73.2,1982,1
Julius Erving,PHI,82,35.0,24.6,4.4,8.0,52.1,22.2,78.7,80.5,1981,1
Kareem Abdul-Jabbar,LAL,82,38.3,24.8,4.5,10.8,60.4,0.0,76.5,76.8,1980,1
Moses Malone,HOU,82,41.3,24.8,1.8,17.6,54.0,0.0,73.9,82.9,1979,1
Bill Walton,POR,58,33.3,18.9,5.0,13.2,52.2,0.0,72.0,72.0,1978,1
Kareem Abdul-Jabbar,LAL,82,36.8,26.2,3.9,13.3,57.9,0.0,70.1,59.8,1977,1
Kareem Abdul-Jabbar,LAL,82,41.2,27.7,5.0,16.9,52.9,0.0,70.3,48.8,1976,1
Bob McAdoo,LAC,82,43.2,34.5,2.2,14.1,51.2,0.0,80.5,64.7,1975,1
Kareem Abdul-Jabbar,MIL,81,43.8,27.0,4.8,14.5,53.9,0.0,70.2,70.8,1974,1
David Cowens,BOS,82,41.8,20.5,4.1,16.2,45.2,0.0,77.9,57.3,1973,1
Kareem Abdul-Jabbar,MIL,81,44.2,34.8,4.6,16.6,57.4,0.0,68.9,73.2,1972,1
Kareem Abdul-Jabbar,MIL,82,40.1,31.7,3.3,16.0,57.7,0.0,69.0,75.6,1971,1
Willis Reed,NYK,81,38.1,21.7,2.0,13.9,50.7,0.0,75.6,56.1,1970,1
Westley Unseld,WAS,82,36.2,13.8,2.6,18.2,47.6,0.0,60.5,79.3,1969,1
Wilt Chamberlain,PHI,82,46.8,24.3,8.6,23.8,59.5,0.0,38.0,75.6,1968,1
Wilt Chamberlain,PHI,81,45.5,24.1,7.8,24.2,68.3,0.0,44.1,76.8,1967,1
Wilt Chamberlain,PHI,79,47.3,33.5,5.2,24.6,54.0,0.0,51.3,81.7,1966,1
Bill Russell,BOS,78,44.4,14.1,5.3,24.1,43.8,0.0,57.3,79.3,1965,1
Oscar Robertson,SAC,79,45.1,31.4,11.0,9.9,48.3,0.0,85.3,61.0,1964,1
Bill Russell,BOS,78,44.9,16.8,4.5,23.6,43.2,0.0,55.5,69.5,1963,1
Bill Russell,BOS,76,45.2,18.9,4.5,23.6,45.7,0.0,59.5,76.8,1962,1
Bill Russell,BOS,78,44.3,16.9,3.4,23.9,42.6,0.0,55.0,74.4,1961,1
Wilt Chamberlain,GSW,72,46.4,37.6,2.3,27.0,46.1,0.0,58.2,81.7,1960,1
Bob Pettit,ATL,72,39.9,29.2,3.1,16.4,43.8,0.0,75.9,75.6,1959,1
Bill Russell,BOS,69,38.3,16.6,2.9,22.7,44.2,0.0,51.9,70.7,1958,1
Bob Cousy,BOS,64,36.9,20.6,7.5,4.8,37.8,0.0,82.1,75.6,1957,1
Bob Pettit,ATL,72,38.8,25.7,2.6,16.2,42.9,0.0,73.6,87.8,1956,1
