Player,Team,Age,GP,Min,PTS,AST,REB,FG%,3P%,FT%,YEAR,MVP
Joel Embiid,PHI,28,68,33.8,30.6,4.2,11.7,49.9,37.1,81.4,2022,0
LeBron James,LAL,37,56,37.2,30.3,6.2,8.2,52.4,35.9,75.6,2022,0
Giannis Antetokounmpo,MIL,27,67,32.9,29.9,5.8,11.6,55.3,29.3,72.2,2022,0
Kevin Durant,BKN,33,55,37.2,29.9,6.4,7.4,51.8,38.3,91.0,2022,0
Luka Doncic,DAL,23,65,35.4,28.4,8.7,9.1,45.7,35.3,74.4,2022,0
Trae Young,ATL,23,76,34.9,28.4,9.7,3.7,46.0,38.2,90.4,2022,0
DeMar DeRozan,CHI,32,76,36.1,27.9,4.9,5.2,50.4,35.2,87.7,2022,0
Kyrie Irving,BKN,30,29,37.6,27.4,5.8,4.4,46.9,41.8,91.5,2022,0
Ja Morant,MEM,22,57,33.1,27.4,6.7,5.7,49.3,34.4,76.1,2022,0
Nikola Jokic,DEN,27,74,33.5,27.1,7.9,13.8,58.3,33.7,81.0,2022,1
Jayson Tatum,BOS,24,76,35.9,26.9,4.4,8.0,45.3,35.3,85.3,2022,0
Devin Booker,PHX,25,68,34.5,26.8,4.8,5.0,46.6,38.3,86.8,2022,0
Donovan Mitchell,UTA,25,67,33.8,25.9,5.3,4.2,44.8,35.5,85.3,2022,0
Stephen Curry,GSW,34,64,34.5,25.5,6.3,5.2,43.7,38.0,92.3,2022,0
Karl-Anthony Towns,MIN,26,74,33.5,24.6,3.6,9.8,52.9,41.0,82.2,2022,0
Stephen Curry,GSW,33,63,34.2,32.0,5.8,5.5,48.2,42.1,91.6,2021,0
Bradley Beal,WAS,28,60,35.8,31.3,4.4,4.7,48.5,34.9,88.9,2021,0
Damian Lillard,POR,30,67,35.8,28.8,7.5,4.2,45.1,39.1,92.8,2021,0
Joel Embiid,PHI,27,51,31.1,28.5,2.8,10.6,51.3,37.7,85.9,2021,0
Giannis Antetokounmpo,MIL,26,61,33.0,28.1,5.9,11.0,56.9,30.3,68.5,2021,0
Luka Doncic,DAL,22,66,34.3,27.7,8.6,8.0,47.9,35.0,73.0,2021,0
Zach LaVine,CHI,26,58,35.1,27.4,4.9,5.0,50.7,41.9,84.9,2021,0
Zion Williamson,NOP,20,61,33.2,27.0,3.7,7.2,61.1,29.4,69.8,2021,0
Kevin Durant,BKN,32,35,33.1,26.9,5.6,7.1,53.7,45.0,88.2,2021,0
Kyrie Irving,BKN,29,54,34.9,26.9,6.0,4.8,50.6,40.2,92.2,2021,0
Jayson Tatum,BOS,23,64,35.8,26.4,4.3,7.4,45.9,38.6,86.8,2021,0
Donovan Mitchell,UTA,24,53,33.4,26.4,5.2,4.4,43.8,38.6,84.5,2021,0
Nikola Jokic,DEN,26,72,34.6,26.4,8.3,10.8,56.6,38.8,86.8,2021,1
Devin Booker,PHX,24,67,33.9,25.6,4.3,4.2,48.4,34.0,86.7,2021,0
Trae Young,ATL,22,63,33.7,25.3,9.4,3.9,43.8,34.3,88.6,2021,0
James Harden,HOU,30,68,36.5,34.3,7.5,6.6,44.4,35.5,86.5,2020,0
Bradley Beal,WAS,27,57,36.0,30.5,6.1,4.2,45.5,35.3,84.2,2020,0
Damian Lillard,POR,29,66,37.5,30.0,8.0,4.3,46.3,40.1,88.8,2020,0
Trae Young,ATL,21,60,35.3,29.6,9.3,4.3,43.7,36.1,86.0,2020,0
Giannis Antetokounmpo,MIL,25,63,30.4,29.5,5.6,13.6,55.3,30.4,63.3,2020,1
Luka Doncic,DAL,21,61,33.6,28.8,8.8,9.4,46.3,31.6,75.8,2020,0
Kyrie Irving,BKN,28,20,32.9,27.4,6.4,5.2,47.8,39.4,92.2,2020,0
Russell Westbrook,HOU,31,57,36.0,27.2,7.0,7.9,47.2,25.8,76.3,2020,0
Kawhi Leonard,LAC,29,57,32.4,27.1,4.9,7.1,47.0,37.8,88.6,2020,0
Devin Booker,PHX,23,70,35.9,26.6,6.5,4.2,48.9,35.4,91.9,2020,0
Karl-Anthony Towns,MIN,24,35,33.9,26.5,4.4,10.8,50.8,41.2,79.6,2020,0
Anthony Davis,LAL,27,62,34.4,26.1,3.2,9.3,50.3,33.0,84.6,2020,0
Zach LaVine,CHI,25,60,34.8,25.5,4.2,4.8,45.0,38.0,80.2,2020,0
LeBron James,LAL,35,67,34.6,25.3,10.2,7.8,49.3,34.8,69.3,2020,0
Donovan Mitchell,UTA,23,69,34.3,24.0,4.3,4.4,44.9,36.6,86.3,2020,0
James Harden,HOU,29,78,36.8,36.1,7.5,6.6,44.2,36.8,87.9,2019,0
Paul George,OKC,29,77,36.9,28.0,4.1,8.2,43.8,38.6,83.9,2019,0
Giannis Antetokounmpo,MIL,24,72,32.8,27.7,5.9,12.5,57.8,25.6,72.9,2019,1
Joel Embiid,PHI,25,64,33.7,27.5,3.7,13.6,48.4,30.0,80.4,2019,0
LeBron James,LAL,34,55,35.2,27.4,8.3,8.5,51.0,33.9,66.5,2019,0
Stephen Curry,GSW,31,69,33.8,27.3,5.2,5.3,47.2,43.7,91.6,2019,0
Kawhi Leonard,TOR,28,60,34.0,26.6,3.3,7.3,49.6,37.1,85.4,2019,0
Devin Booker,PHX,22,64,35.0,26.6,6.8,4.1,46.7,32.6,86.6,2019,0
Kevin Durant,GSW,30,78,34.6,26.0,5.9,6.4,52.1,35.3,88.5,2019,0
Anthony Davis,NOP,26,56,33.0,25.9,3.9,12.0,51.7,33.1,79.4,2019,0
Damian Lillard,POR,28,80,35.5,25.8,6.9,4.6,44.4,36.9,91.2,2019,0
Kemba Walker,CHH,29,82,34.9,25.6,5.9,4.4,43.4,35.6,84.4,2019,0
Bradley Beal,WAS,26,82,36.9,25.6,5.5,5.0,47.5,35.1,80.8,2019,0
Blake Griffin,DET,30,75,35.0,24.5,5.4,7.5,46.2,36.2,75.3,2019,0
Karl-Anthony Towns,MIN,23,77,33.0,24.4,3.4,12.4,51.8,40.0,83.6,2019,0
James Harden,HOU,28,72,35.4,30.4,8.8,5.4,44.9,36.7,85.8,2018,1
Anthony Davis,NOP,25,75,36.4,28.1,2.3,11.1,53.4,34.0,82.8,2018,0
LeBron James,CLE,33,82,36.9,27.5,9.1,8.6,54.2,36.7,73.1,2018,0
Damian Lillard,POR,27,73,36.6,26.9,6.6,4.5,43.9,36.1,91.6,2018,0
Giannis Antetokounmpo,MIL,23,75,36.7,26.9,4.8,10.0,52.9,30.7,76.0,2018,0
Stephen Curry,GSW,30,51,32.0,26.4,6.1,5.1,49.5,42.3,92.1,2018,0
Kevin Durant,GSW,29,68,34.2,26.4,5.4,6.8,51.6,41.9,88.9,2018,0
Russell Westbrook,OKC,29,80,36.4,25.4,10.3,10.1,44.9,29.8,73.7,2018,0
DeMarcus Cousins,NOP,27,48,36.2,25.2,5.4,12.9,47.0,35.4,74.6,2018,0
Devin Booker,PHX,21,54,34.5,24.9,4.7,4.5,43.2,38.3,87.8,2018,0
Kyrie Irving,BOS,26,60,32.2,24.4,5.1,3.8,49.1,40.8,88.9,2018,0
LaMarcus Aldridge,SAS,32,75,33.4,23.1,2.0,8.5,51.0,29.3,83.7,2018,0
Victor Oladipo,IND,26,75,34.0,23.1,4.3,5.2,47.7,37.1,79.9,2018,0
DeMar DeRozan,TOR,28,80,33.9,23.0,5.2,3.9,45.6,31.0,82.5,2018,0
Joel Embiid,PHI,24,63,30.4,22.9,3.2,11.0,48.3,30.8,76.9,2018,0
Russell Westbrook,OKC,28,81,34.6,31.6,10.4,10.7,42.5,34.3,84.5,2017,1
James Harden,HOU,27,81,36.4,29.1,11.2,8.1,44.0,34.7,84.7,2017,0
Isaiah Thomas,BOS,28,76,33.8,28.9,5.9,2.7,46.3,37.9,90.9,2017,0
Anthony Davis,NOP,24,75,36.1,28.0,2.1,11.8,50.5,29.9,80.2,2017,0
