Player,Min,PTS,AST,REB,FG%,FT%
Luka Doncic,35.9,36.3,9.3,9.5,50.0,86.1
Giannis Antetokounmpo,33.9,36.0,5.3,13.0,67.7,62.5
Kevin Durant,37.3,33.2,4.0,4.4,53.4,90.4
Ja Morant,32.9,32.6,6.8,4.4,52.9,87.5
Devin Booker,38.7,32.5,5.8,3.0,53.0,88.2
Jayson Tatum,37.1,32.5,3.5,8.3,55.6,90.3
Damian Lillard,34.9,31.0,4.6,4.8,49.5,92.9
Stephen Curry,33.4,30.8,6.0,6.0,48.6,92.6
De'Aaron Fox,34.8,30.5,5.8,5.8,59.0,76.5
Kyrie Irving,38.9,29.6,4.4,5.4,45.4,93.3
Shai Gilgeous-Alexander,35.4,29.3,6.5,4.8,47.8,100.0
Donovan Mitchell,37.7,28.5,7.3,5.0,44.3,85.7
Trae Young,36.6,27.8,10.3,3.8,34.8,95.1
Joel Embiid,35.0,27.6,3.2,10.0,52.1,81.4
LeBron James,36.2,25.3,7.8,10.0,45.3,73.7
Pascal Siakam,38.2,25.2,8.0,9.0,46.9,67.6
James Harden,37.6,25.0,9.6,8.2,47.7,93.3
DeMar DeRozan,34.1,24.8,5.4,4.0,51.8,87.2
Anthony Davis,35.1,24.0,2.0,9.5,52.7,76.2
Jaylen Brown,36.4,24.0,2.8,5.5,46.9,84.6
Paolo Banchero,34.6,24.0,3.2,7.6,44.8,80.0
Terry Rozier,32.9,23.5,8.5,7.0,39.5,87.5
Zach LaVine,31.8,23.3,3.7,3.7,44.4,82.6
Bojan Bogdanovic,31.3,23.2,2.4,3.4,53.3,88.2
Anthony Edwards,36.1,22.8,4.6,7.4,46.3,57.9
Jimmy Butler,35.1,22.7,5.0,6.3,50.6,87.2
Desmond Bane,32.7,22.6,5.6,4.4,43.2,83.3
Jalen Green,34.2,22.6,2.4,4.8,42.7,88.9
Tyrese Haliburton,32.9,22.6,10.0,4.2,50.0,92.0
Nikola Jokic,33.7,22.4,9.4,10.8,65.6,90.6
Brandon Ingram,26.4,22.0,4.0,5.7,57.9,81.8
Lauri Markkanen,35.3,22.0,3.0,8.8,48.8,81.8
Zion Williamson,30.2,22.0,2.3,6.7,49.1,71.4
Keldon Johnson,32.4,21.8,3.4,5.8,44.9,68.4
Kevin Porter Jr.,34.6,21.4,5.4,6.4,41.8,87.5
CJ McCollum,34.7,21.0,7.8,3.5,43.6,88.9
Christian Wood,25.8,21.0,1.3,8.0,61.9,64.7
Kyle Kuzma,33.3,21.0,2.0,6.8,48.3,75.0
Bennedict Mathurin,27.6,20.8,2.4,5.0,45.3,82.8
Bradley Beal,34.4,20.5,6.3,3.5,58.9,85.7
Karl-Anthony Towns,35.2,20.4,5.2,7.4,45.3,96.0
Julius Randle,33.6,20.3,3.0,8.8,47.0,72.2
Paul George,34.9,20.3,4.3,7.5,42.4,94.7
Andrew Wiggins,33.3,20.2,2.6,7.0,49.4,81.3
Gary Trent Jr.,37.9,20.2,0.8,1.6,44.4,69.2
Cade Cunningham,33.8,20.0,6.0,4.8,40.0,80.0
Jalen Brunson,34.5,20.0,8.5,4.5,51.7,84.6
Tyrese Maxey,38.6,20.0,3.4,2.6,46.8,75.0
Devin Vassell,32.4,19.8,4.5,5.0,40.9,75.0
Gordon Hayward,34.1,19.8,4.5,4.8,51.7,75.0
